id,Names,Distance,Mass,Radius
0,"['S', 'D', 'S', 'S', ' ', 'J', '0', '0', '0', '0', '1', '3', '.', '5', '4', '+', '2', '5', '5', '4', '1', '8', '.', '6', '\xa0', '[', 'd', 'e', ']']","['4', '6', '.', '1']","['4', '8']","['0', '.', '9', '9']"
1,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '0', '4', '0', '2', '8', '8', '-', '6', '4', '1', '0', '3', '5', '8']","['1', '9', '2']","['1', '9']","['1', '.', '6', '3']"
2,"['L', 'H', 'S', ' ', '1', '0', '2', 'B', 'C']",[],[],[]
3,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '2', '4', '2', '4', '6', '3', '-', '0', '1', '5', '8', '2', '0', '1']","['3', '7', '.', '7']","['7', '9']","['1', '.', '0', '9']"
4,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '2', '5', '0', '3', '6', '5', '+', '4', '7', '5', '9', '1', '9', '1', 'A', 'B']","['1', '4', '3']",[],[]
5,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '2', '7', '4', '1', '9', '7', '+', '0', '5', '0', '3', '4', '1', '7']","['2', '3', '6']","['3', '1']","['1', '.', '4', '4']"
6,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '2', '7', '5', '5', '9', '2', '+', '2', '2', '1', '9', '3', '2', '8']","['4', '6', '.', '9']",[],[]
7,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '0', '0', '3', '0', '3', '0', '0', '-', '1', '4', '5', '0', '3', '3']","['8', '7', '.', '2']","['5', '4']","['0', '.', '9', '8']"
8,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '3', '3', '2', '3', '8', '6', '-', '1', '5', '2', '1', '3', '0', '9', '\xa0', '[', 'd', 'e', ']']","['1', '3', '1']","['2', '9']","['1', '.', '4', '3']"
9,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '3', '4', '5', '1', '5', '7', '+', '0', '5', '2', '3', '0', '5', '0']","['3', '1']","['4', '2']","['0', '.', '9', '4']"
10,"['2', 'M', 'A', 'S', 'S', ' ', '0', '0', '3', '6', '+', '1', '8', '2', '1']","['2', '8', '.', '6']","['4', '2']","['0', '.', '9', '4']"
11,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '0', '0', '4', '5', '2', '1', '4', '+', '1', '6', '3', '4', '4', '5']","['5', '7']","['2', '3']","['1', '.', '6', '2']"
12,"['W', 'I', 'S', 'E', 'P', ' ', 'J', '0', '0', '4', '7', '0', '1', '.', '0', '6', '+', '6', '8', '0', '3', '5', '2', '.', '1', '\xa0', '[', 'f', 'r', ']']","['4', '0']","['1', '2']","['1', '.', '3']"
13,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '5', '0', '1', '9', '9', '4', '-', '3', '3', '2', '2', '4', '0', '2', '\xa0', '[', 'd', 'e', ']']","['3', '4']","['4', '0']","['0', '.', '9', '4']"
14,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '0', '3', '4', '2', '2', '7', '-', '2', '8', '2', '2', '4', '1', '0']",[],[],[]
15,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '5', '8', '4', '2', '5', '3', '-', '0', '6', '5', '1', '2', '3', '9', '\xa0', '[', 'd', 'e', ']']","['9', '6']","['2', '9']","['1', '.', '4', '3']"
16,"['C', 'F', 'B', 'D', 'S', ' ', 'J', '0', '0', '5', '9', '1', '0', '.', '9', '0', '–', '0', '1', '1', '4', '0', '1', '.', '3']","['3', '0']","['2', '3']",[]
17,"['2', 'M', 'A', 'S', 'S', 'I', ' ', 'J', '0', '1', '0', '3', '3', '2', '0', '+', '1', '9', '3', '5', '3', '6']","['7', '0']","['5', '2']","['0', '.', '9', '8']"
18,"['S', 'D', 'S', 'S', 'p', ' ', 'J', '0', '1', '0', '7', '5', '2', '.', '3', '3', '+', '0', '0', '4', '1', '5', '6', '.', '1', '\xa0', '[', 'd', 'e', ']']","['5', '1']","['5', '2']","['0', '.', '9', '8']"
19,"['2', 'M', 'A', 'S', 'S', 'I', ' ', 'J', '0', '1', '1', '7', '4', '7', '4', '-', '3', '4', '0', '3', '2', '5', '\xa0', '[', 'd', 'e', ']']","['1', '6', '3']","['2', '0']","['1', '.', '6', '2']"
20,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '1', '4', '1', '5', '8', '2', '3', '-', '4', '6', '3', '3', '5', '7', '4', '\xa0', '[', 'd', 'e', ']']","['1', '3', '0']","['2', '0']","['1', '.', '6', '1']"
21,"['S', 'D', 'S', 'S', ' ', 'J', '0', '1', '5', '1', '4', '1', '.', '6', '9', '+', '1', '2', '4', '4', '2', '9', '.', '6']","['7', '0']","['4', '7']","['0', '.', '9', '7']"
22,"['D', 'E', 'N', 'I', 'S', '-', 'P', ' ', 'J', '0', '2', '0', '5', '2', '9', '.', '0', '−', '1', '1', '5', '9', '2', '5', 'A']","['6', '5']",[],[]
23,"['D', 'E', 'N', 'I', 'S', '-', 'P', ' ', 'J', '0', '2', '0', '5', '2', '9', '.', '0', '−', '1', '1', '5', '9', '2', '5', 'B']","['6', '5']",[],[]
24,"['D', 'E', 'N', 'I', 'S', '-', 'P', ' ', 'J', '0', '2', '0', '5', '2', '9', '.', '0', '−', '1', '1', '5', '9', '2', '5', 'C']","['6', '5']",[],[]
25,"['S', 'D', 'S', 'S', ' ', 'J', '0', '2', '0', '7', '4', '2', '.', '4', '8', '+', '0', '0', '0', '0', '5', '6', '.', '2', '\xa0', '[', 'd', 'e', ']']","['1', '1', '1']","['4', '7']","['0', '.', '9', '7']"
26,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '2', '1', '0', '3', '8', '5', '7', '-', '3', '0', '1', '5', '3', '1', '3']","['1', '0', '1']","['1', '5']","['1', '.', '5', '3']"
27,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '2', '3', '4', '0', '0', '9', '3', '-', '6', '4', '4', '2', '0', '6', '8']","['1', '5', '5']","['2', '0']","['1', '.', '6', '2']"
28,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '2', '4', '1', '1', '1', '5', '1', '-', '0', '3', '2', '6', '5', '8', '7', '\xa0', '[', 'd', 'e', ']']","['1', '5', '2']","['2', '7']","['1', '.', '4', '1']"
29,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '2', '4', '3', '1', '3', '7', '1', '−', '2', '4', '5', '3', '2', '9', '8']","['3', '5']","['3', '3']","['0', '.', '9', '9']"
30,"['L', 'P', ' ', '7', '7', '1', '-', '2', '1']","['5', '3']","['7', '8']","['1', '.', '0', '8']"
31,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '2', '5', '1', '1', '3', '2', '7', '+', '0', '0', '4', '7', '3', '6', '4']",[],[],[]
32,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '2', '5', '3', '5', '9', '8', '0', '+', '3', '2', '0', '6', '3', '7', '3']","['1', '8', '4']","['6', '5']","['1', '.', '9']"
33,"['W', 'I', 'S', 'E', ' ', 'J', '0', '2', '5', '4', '+', '0', '2', '2', '3']","['2', '4']","['6', '5']","['1', '.', '9']"
34,"['D', 'E', 'N', ' ', '0', '2', '5', '5', '-', '4', '7', '0', '0']","['1', '6', '.', '2']","['8', '0']","['0', '.', '9', '7']"
35,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '3', '1', '8', '5', '4', '0', '3', '-', '3', '4', '2', '1', '2', '9', '2', '\xa0', '[', 'd', 'e', ']']","['4', '5']","['4', '9']","['0', '.', '9', '7']"
36,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '3', '2', '0', '5', '9', '6', '5', '+', '1', '8', '5', '4', '2', '3', '3']","['4', '7']","['8', '8']","['1', '.', '1', '5']"
37,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '3', '2', '3', '1', '0', '0', '2', '-', '4', '6', '3', '1', '2', '3', '7']","['1', '9', '2']","['2', '3']","['1', '.', '6', '6']"
38,"['S', 'D', 'S', 'S', ' ', 'J', '0', '3', '2', '5', '5', '3', '.', '1', '7', '+', '0', '4', '2', '5', '4', '0', '.', '1']","['5', '9']","['4', '5']","['0', '.', '9', '5']"
39,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '3', '2', '6', '4', '2', '2', '5', '-', '2', '1', '0', '2', '0', '5', '7', '\xa0', '[', 'd', 'e', ']']","['8', '0']","['1', '8']","['1', '.', '3']"
40,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '3', '2', '8', '4', '2', '6', '5', '+', '2', '3', '0', '2', '0', '5', '1', '\xa0', '[', 'd', 'e', ']']","['9', '8']","['5', '4']","['0', '.', '9', '8']"
41,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '3', '3', '4', '1', '2', '1', '8', '-', '4', '9', '5', '3', '3', '2', '2']","['2', '7', '.', '0']","['7', '3']","['1', '.', '0', '4']"
42,"['L', 'P', ' ', '9', '4', '4', '-', '2', '0']","['2', '0', '.', '9']","['7', '3']","['1', '.', '4', '3']"
43,"['2', 'M', 'A', 'S', 'P', ' ', 'J', '0', '3', '4', '5', '4', '3', '2', '+', '2', '5', '4', '0', '2', '3']","['8', '8']","['7', '4']","['1', '.', '0', '5']"
44,"['T', 'e', 'i', 'd', 'e', ' ', '1']","['3', '8', '0']","['5', '5']","['3', '.', '7', '8']"
45,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '3', '5', '1', '0', '0', '0', '4', '-', '0', '0', '5', '2', '4', '5', '2']","['4', '8']","['1', '0', '2']","['1', '.', '2', '7']"
46,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '3', '5', '5', '2', '3', '3', '7', '+', '1', '1', '3', '3', '4', '3', '7']","['2', '9', '.', '8']","['2', '0']","['1', '.', '3', '2']"
47,"['D', 'E', 'N', 'I', 'S', '-', 'P', ' ', 'J', '0', '3', '5', '7', '2', '6', '.', '9', '-', '4', '4', '1', '7', '3', '0', '\xa0', '[', 'd', 'e', ']']","['1', '3', '0']",[],[]
48,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '4', '1', '5', '1', '9', '5', '4', '−', '0', '9', '3', '5', '0', '6', '6']","['1', '8', '.', '6']","['3', '0']","['0', '.', '9', '5']"
49,"['S', 'D', 'S', 'S', 'p', ' ', 'J', '0', '4', '2', '3', '4', '8', '.', '5', '7', '-', '0', '4', '1', '4', '0', '3', '.', '5', '\xa0', '[', 'd', 'e', ']']","['5', '0']",[],[]
50,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '4', '2', '8', '5', '0', '9', '6', '-', '2', '2', '5', '3', '2', '2', '7', '\xa0', '[', 'd', 'e', ']']","['8', '5']","['8', '0']","['1', '.', '0', '9']"
51,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '4', '3', '5', '1', '6', '1', '2', '-', '1', '6', '0', '6', '5', '7', '4']","['3', '4']","['1', '0', '0']","['1', '.', '2', '6']"
52,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '4', '3', '6', '2', '7', '8', '8', '-', '4', '1', '1', '4', '4', '6', '5']","['1', '4', '2']","['3', '9']","['1', '.', '9', '7']"
53,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '4', '3', '9', '0', '1', '0', '1', '-', '2', '3', '5', '3', '0', '8', '3', '\xa0', '[', 'd', 'e', ']']","['2', '9', '.', '5']","['4', '8']","['0', '.', '9', '7']"
54,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '4', '4', '1', '4', '4', '8', '9', '+', '2', '3', '0', '1', '5', '1', '3']","['4', '7', '0']","['1', '9']",[]
55,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '4', '4', '3', '3', '7', '6', '4', '+', '0', '0', '0', '2', '0', '4', '0']","['8', '2']","['2', '2']","['1', '.', '7', '8']"
56,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '4', '4', '5', '5', '3', '8', '7', '-', '3', '0', '4', '8', '2', '0', '4', '\xa0', '[', 'd', 'e', ']']","['4', '2']","['6', '4']","['1', '.', '0', '0']"
57,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '4', '5', '1', '0', '0', '9', '3', '-', '3', '4', '0', '2', '1', '5', '0', '\xa0', '[', 'd', 'e', ']']","['6', '9']","['7', '2']","['1', '.', '0', '4']"
58,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '5', '0', '0', '2', '1', '0', '0', '+', '0', '3', '3', '0', '5', '0', '1', '\xa0', '[', 'd', 'e', ']']","['4', '4']","['6', '4']","['1', '.', '0', '0']"
59,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '5', '0', '1', '2', '4', '0', '6', '-', '0', '0', '1', '0', '4', '5', '2', '\xa0', '[', 'd', 'e', ']']","['6', '4']","['2', '1']","['1', '.', '3', '8']"
60,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '5', '1', '6', '0', '9', '4', '5', '-', '0', '4', '4', '5', '4', '9', '9', '\xa0', '[', 'd', 'e', ']']","['7', '3']","['4', '7']","['0', '.', '9', '7']"
61,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '5', '2', '3', '−', '1', '4', '0', '3']","['4', '0']","['6', '8']","['1', '.', '0', '1']"
62,"['2', 'M', 'A', 'S', 'S', ' ', '0', '5', '3', '2', '+', '8', '2', '4', '6']","['8', '1']","['8', '3']",[]
63,"['S', 'D', 'S', 'S', ' ', 'J', '0', '5', '3', '9', '5', '1', '.', '9', '9', '-', '0', '0', '5', '9', '0', '2', '.', '0']","['4', '1', '.', '6', '2']","['6', '1']","['1', '.', '0', '1']"
64,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '5', '5', '9', '1', '9', '1', '4', '-', '1', '4', '0', '4', '4', '8', '8', '\xa0', '[', 'd', 'e', ']']","['3', '4']",[],[]
65,"['L', 'S', 'R', ' ', '0', '6', '0', '2', '+', '3', '9', '1', '0', '\xa0', '[', 'd', 'e', ']']","['3', '4', '.', '6']","['2', '8']","['1', '.', '4', '1']"
66,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '6', '0', '8', '5', '2', '8', '3', '-', '2', '7', '5', '3', '5', '8', '3']","['1', '0', '2']","['3', '8']","['1', '.', '5', '1']"
67,"['W', 'I', 'S', 'E', 'P', ' ', 'J', '0', '6', '1', '1', '3', '5', '.', '1', '3', '-', '0', '4', '1', '0', '2', '4', '.', '0', 'A']","['6', '9']","['6', '5']",[]
68,"['W', 'I', 'S', 'E', 'P', ' ', 'J', '0', '6', '1', '1', '3', '5', '.', '1', '3', '-', '0', '4', '1', '0', '2', '4', '.', '0', 'B']","['6', '9']","['5', '3']",[]
