id,Names,Distance,Mass,Radius
111,"['T', 'W', 'A', ' ', '2', '6']","['1', '3', '7']","['3', '0']","['2', '.', '2', '0']"
112,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '1', '1', '4', '6', '3', '4', '5', '+', '2', '2', '3', '0', '5', '3']","['8', '9']",[],[]
113,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '1', '5', '4', '4', '2', '2', '3', '-', '3', '4', '0', '0', '3', '9', '0', '\xa0', '[', 'd', 'e', ']']","['1', '2', '9']","['3', '7']","['1', '.', '5', '0']"
114,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '1', '1', '5', '5', '3', '9', '5', '-', '3', '7', '2', '7', '3', '5', '\xa0', '[', 'd', 'e', ']']","['3', '1']","['6', '4']","['1', '.', '0', '0']"
115,"['T', 'W', 'A', ' ', '2', '7', 'A']",[],[],[]
116,"['T', 'W', 'A', ' ', '2', '7', 'B']",[],[],[]
117,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '2', '0', '7', '4', '8', '3', '6', '-', '3', '9', '0', '0', '0', '4', '3']","['2', '1', '7']","['1', '7']","['1', '.', '7', '1']"
118,"['2', 'M', 'A', 'S', 'S', 'I', ' ', 'J', '1', '2', '1', '7', '1', '1', '0', '-', '0', '3', '1', '1', '1', '3', '\xa0', '[', 'd', 'e', ']']","['3', '6']","['4', '2']","['0', '.', '9', '4']"
119,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '2', '2', '5', '5', '4', '3', '2', '-', '2', '7', '3', '9', '4', '6', '6']","['4', '3']",[],[]
120,"['D', 'E', 'N', 'I', 'S', '-', 'P', ' ', 'J', '1', '2', '2', '8', '.', '2', '-', '1', '5', '4', '7']","['6', '6']",[],[]
121,"['2', 'M', ' ', '1', '2', '3', '7', '+', '6', '5', '2', '6']","['4', '5', '.', '6']","['4', '1']","['0', '.', '9', '4']"
122,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '1', '2', '3', '9', '2', '7', '2', '+', '5', '5', '1', '5', '3', '7', '\xa0', '[', 'd', 'e', ']']","['1', '1', '9']",[],[]
123,"['T', 'W', 'A', ' ', '2', '9']","['2', '6', '2']","['2', '5']","['2', '.', '0', '0']"
124,"['S', 'D', 'S', 'S', 'p', ' ', 'J', '1', '2', '5', '4', '5', '3', '.', '9', '0', '-', '0', '1', '2', '2', '4', '7', '.', '4', '\xa0', '[', 'd', 'e', ']']","['3', '8']","['4', '7']","['0', '.', '9', '8']"
125,"['K', 'e', 'l', 'u', '-', '1', 'A']","['6', '1']","['6', '3']","['0', '.', '9', '8']"
126,"['K', 'e', 'l', 'u', '-', '1', 'B']","['6', '1']","['5', '8']","['0', '.', '9', '8']"
127,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '3', '2', '0', '4', '4', '2', '7', '+', '0', '4', '0', '9', '0', '4', '5']","['1', '0', '1']","['6', '7']","['1', '.', '0', '1']"
128,"['S', 'D', 'S', 'S', 'p', ' ', 'J', '1', '3', '2', '6', '2', '9', '.', '8', '2', '-', '0', '0', '3', '8', '3', '1', '.', '5', '\xa0', '[', 'd', 'e', ']']","['6', '5']","['5', '1']","['0', '.', '9', '7']"
129,"['S', 'D', 'S', 'S', 'p', ' ', 'J', '1', '3', '4', '6', '4', '6', '.', '4', '5', '-', '0', '0', '3', '1', '5', '0', '.', '4', '\xa0', '[', 'd', 'e', ']']","['4', '8']","['4', '4']","['0', '.', '9', '4']"
130,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '3', '5', '9', '5', '5', '1', '0', '-', '4', '0', '3', '4', '5', '8', '2']","['5', '1']","['6', '3']","['1', '.', '0', '0']"
